title,keyword1,keyword2,keyword3,keyword4,keyword5
트렌드 코리아,있자니 너무 피곤했다,분석하고 있자니 너무 피곤했다,왤케 복잡함,복잡함 기후감수성,기후감수성 파트가 제일 무서웠다
ABC 살인사건,나한테는 취미생활이라곤 독서와 티비보기,독서와 티비보기 말고는 없었다,어린시절부터 동네,다양한 책들이 많기는 했지만,그랬나 소설의 내용보다도 책을
죽고 싶지만 떡볶이는 먹고 싶어,받는다 책은 기분부전장애 심한,죄다 힐링 감성,심한 우울,무력감과 공허함 우울함을,책은 읽지도
느리게 걷는 즐거움,일도 걷기에 대한,중에는 스위스 작가 니콜라,걷기를 주제로,중에는 스위스 작가,책을 썼다
언데드 다루는 법,혐오와 연민,빌려 뒤틀린 가족,좀비들은 그저 집으로 돌아가려는,뒤틀린 가족,좀비들에게서 무지막지한 공격성을
현대어판 하늘과 바람과 별과 시 (양장) : 1955년 정음사 오리지널 초판본 표지 디자인,걷는 것은,쳐다보면 하늘은 부끄럽게 푸릅니다,눈물짓다 쳐다보면,닫아 위에 그림자를,없는 길을
눈부신 안부,혼자만의 시간이,괴로운 밤들의,음악을 들으며 일기를,어느 벤치에 아샤가 앉아,운동을 아침 운동으로 바꾸고
흐르는 강물처럼,결국에는 현재도,놓쳐버리고요 영원히 죽지,건강을 되찾는 재산을,결국에는 현재도 미래도,어른이 되어서는
사이보그가 되다,보통 사람은 없다 우리가,예비장애인 보통,지구의 구성원은 둘로 나눠진다,사실을 기반으로 사회는 지금,사회는 지금 당장 재설계
the innovators,,,,,
철학자의 뇌를 훔쳐라,,,,,
"종교, 상징, 인간",인간의 종교성에 주목했다는,가톨릭 신앙을 가지면서 군대에서,종교적인 상징에 대한 관심,세례에 대한 궁금증은 신앙,군대에서 가톨릭
논어와 주판,,,,,
빅뱅의 질문들,별을 어떤 생각이,빅뱅 우주의 팽창,우주학과 물리학에 관심을,읽는 것은 과학자들이 우주의,하늘이 있고 별이
농업기계설계,,,,,
예술을 경영하라,있을까 억만장자들은 경영을 예술적으로,예술경영 단어를,경영예술 이라는 책을 읽어보면,예술을 돈으로 바꾸는,없다 예술적인 경영이라는 것이
언어는 인권이다,마치 독재처럼,바로 인권을,사람들이 알아듣거나 읽기 어려운,인권 교육에서 말을 깊이,독재처럼 한국말을 쥐락펴락하거나 주무르는
녹나무의 파수꾼,쓰고 싶은 욕망이 커진,그가 말년에 와서,다른 이야기를,등장인물들이 선한,작가 인생
사피엔스,편향성이 강한,인간의 생각과 시각이,책을 읽다보면 기독교인들 한국인들은,책을 좋다,하라리의 책을 좋다
빛이 이끄는 곳으로,차별화된 건축을 만들어,꼼꼼히 읽었다 건축가의 관점으로,구조만을 위한 건축이 아닌,건축을 공부하는 사람으로써 호기심과,건축학도로써 다시 건축에 대해
해를 품은 달,성균관 유생들의 나날보다 못하다,유생들의 나날보다 못하다,성격을 구체화시키는,캐릭터의 입체감도,공주를 좋아하게된것도
내 식탁 위의 개,초대함으로써 이종간의 교감이 아닌,자연 친화적,개를 우리들의,살아있는 생명으로 세계를,개를 우리들의 식탁에 초대함으로써
정재승의 과학 콘서트,우주까지 온갖 자연현상과 사회현상을,모든 학자들을 응원하고 싶다,인간의 뇌부터,이로움을 제공하는 물리학자들,자연현상과 사회현상을 연구하고 협동하여
제2의 성,사람은 서로를 자기 자신처럼,세계 속에서 가치와 목적을,사람의 자유가,진정한 사랑이란,사랑이란 반드시 사람의 자유가
법의 정신,쑤셔넣은 생각정리노트와 같다,쑤셔넣은 생각정리노트와 같다 그렇지만,그의 통찰에 받을,유명한 걸로 유명한,법관이자 지식인으로서
엔트로피,지구의 자원은 한정적이며 엔트로피,에너지가 고갈이,이것은 과학 경제 기술,세계는 고엔트로피화,에너지는 많이 사용이 되어지며
내가 아직 아이였을 때,열어대는 아이처럼 나는,두려움에 사로잡혔다,것들이 떠나버릴 것이기 때문이다,사람이 죽을 것이고,나는 문득
떠도는 땅,살아간다 시베리아,우리는 비인간적인 상황들을 모른,못했을만큼 우리는 비인간적인 상황들을,이제 열차,시베리아 횡단열차
